gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR5938419_Aligned.sortedByCoord.out	countData.SRR5938420_Aligned.sortedByCoord.out	countData.SRR5938421_Aligned.sortedByCoord.out	countData.SRR5938422_Aligned.sortedByCoord.out	countData.SRR5938423_Aligned.sortedByCoord.out	countData.SRR5938424_Aligned.sortedByCoord.out	countData.SRR5938425_Aligned.sortedByCoord.out	countData.SRR5938426_Aligned.sortedByCoord.out	countData.SRR5938427_Aligned.sortedByCoord.out	countData.SRR5938428_Aligned.sortedByCoord.out	countData.SRR5938429_Aligned.sortedByCoord.out	countData.SRR5938430_Aligned.sortedByCoord.out	countData.SRR5938456_Aligned.sortedByCoord.out	countData.SRR5938457_Aligned.sortedByCoord.out	countData.SRR5938458_Aligned.sortedByCoord.out	countData.SRR5938459_Aligned.sortedByCoord.out	countData.SRR5938460_Aligned.sortedByCoord.out	countData.SRR5938461_Aligned.sortedByCoord.out	countData.SRR5938462_Aligned.sortedByCoord.out	countData.SRR5938463_Aligned.sortedByCoord.out	countData.SRR5938464_Aligned.sortedByCoord.out	countData.SRR5938465_Aligned.sortedByCoord.out	countData.SRR5938466_Aligned.sortedByCoord.out	countData.SRR5938467_Aligned.sortedByCoord.out
BIN1	ENSG00000136717	E026	19.0851960165987	0.0404386023465447	14.6489012835231	0.000129510118052152	0.0171819112416092	1.37989215491695	1.15188606133354	-0.801427489158186	2	127069995	127070090	96	-	10	79	34	8	42	34	18	18	14	12	29	27	14	14	3	4	27	17	8	12	11	16	14	11
ENPP2	ENSG00000136960	E004	34.8752771797252	0.0320958857003407	15.3188158290724	9.08075186308479e-05	0.0141930075875928	1.63137490393273	1.42084064934792	-0.721075676375947	8	119557521	119557691	171	-	36	157	6	16	126	38	41	52	12	33	50	56	29	23	66	4	24	61	6	11	7	37	17	7
UBAP2	ENSG00000137073	E047	15.9080557139776	0.00639723760850869	12.7066953962166	0.000364348711148299	0.0292616895035828	1.29984835148812	1.15348876514196	-0.517039897024937	9	33944365	33944639	275	-	15	29	21	8	27	35	26	11	20	19	9	13	20	14	16	10	18	6	17	21	9	18	10	20
FCHSD2	ENSG00000137478	E028	7.78124952450336	0.012844999034847	12.2395763010043	0.000467864521111581	0.0326883714380887	1.02501468417463	0.824746714087161	-0.756191618493348	11	73000990	73001134	145	-	5	18	9	4	15	13	9	12	10	7	9	9	7	6	0	3	4	9	10	11	5	9	5	6
ANKRD42	ENSG00000137494	E027	51.5854356254105	0.0150571040228709	16.7993805490169	4.15468628759989e-05	0.00929574821161735	1.64621930542944	1.77924843401629	0.450681175298729	11	83248088	83248971	884	+	35	38	25	22	50	108	52	45	34	51	25	44	62	77	96	40	62	83	65	54	52	91	53	72
CREBZF	ENSG00000137504	E024	68.4715641309113	0.0366491014383687	10.9981657272766	0.000912021019893371	0.0457875044401398	1.91688820820005	1.75268329925987	-0.553625657287698	11	85664190	85664653	464	-	46	116	101	38	118	119	115	82	59	94	43	85	75	52	54	35	61	79	85	81	41	63	51	57
SORL1	ENSG00000137642	E009	55.7090807145491	0.0283280669749718	10.9834639793374	0.000919284423062123	0.0460096412790011	1.8057380369769	1.68815331977809	-0.397753640470067	11	121514152	121514321	170	+	42	49	42	48	98	121	75	78	70	79	60	51	73	52	125	43	22	81	33	44	33	44	18	53
SORL1	ENSG00000137642	E014	48.4609445526788	0.010612641606936	11.3002713406564	0.000774957645785411	0.0421485073948814	1.73643205245731	1.64750639116567	-0.30154470988882	11	121543548	121543726	179	+	39	62	39	32	88	114	64	54	53	64	46	48	59	61	71	35	32	67	57	45	33	37	13	43
ZNF280D	ENSG00000137871	E004	50.0371816219733	0.0137124498743645	12.8107971190108	0.000344624708686501	0.0284011647634978	1.77393038873741	1.64079714919421	-0.451145330936138	15	56631843	56632122	280	-	34	91	35	25	79	108	61	60	51	84	37	49	56	50	49	41	45	76	55	40	55	55	17	44
ZNF280D	ENSG00000137871	E014	16.3795570563745	0.0189258462718583	11.0376039881175	0.000892821786165521	0.0452440580601627	1.14757771603815	1.30471444160639	0.555183064729618	15	56654731	56654842	112	-	4	23	4	7	22	16	18	16	13	20	5	11	18	17	30	24	16	22	13	27	22	20	26	25
TTLL7	ENSG00000137941	E043	49.8948399459322	0.00909575349549653	14.7796984962837	0.000120829350778898	0.0163651407323742	NA	NA	NA	1	83947124	83947282	159	-	49	104	25	38	103	61	78	51	60	46	42	42	44	41	84	41	36	109	37	29	29	57	22	54
DBT	ENSG00000137992	E011	22.5287180791541	0.0216474505957375	11.3125154118495	0.000769864072565267	0.0419888960183298	1.43543566840537	1.29925685952698	-0.472757416465671	1	100215983	100216199	217	-	23	16	25	14	41	53	44	21	27	34	15	22	37	23	17	19	10	27	19	21	20	28	4	22
LRPPRC	ENSG00000138095	E057	14.2537260965383	0.0248213714826046	14.3326725515347	0.000153183057463512	0.0187801281761399	1.27798236462331	1.05155368887204	-0.808205944456248	2	43899466	43899605	140	-	11	11	11	13	26	36	24	24	12	17	17	15	10	7	12	12	11	17	9	21	8	6	10	17
STAMBPL1	ENSG00000138134	E014	77.0619945153703	0.0232980606062193	12.770515398764	0.000352125801986384	0.0288021944880674	1.95971843035944	1.82362013870552	-0.458011139821646	10	88913101	88913458	358	+	52	65	63	47	119	201	129	98	62	142	42	71	122	70	68	33	82	73	105	38	72	72	60	114
ATAD1	ENSG00000138138	E017	43.6854301491881	0.0136239070797143	10.7280708487274	0.00105522401657582	0.0493905726793302	1.7087986615856	1.58153309632054	-0.432596804725025	10	87814438	87814612	175	-	42	36	41	25	63	81	78	42	56	65	35	40	53	40	53	39	25	47	40	57	32	46	26	51
ATAD1	ENSG00000138138	E019	9.0260797636592	0.00840058770585368	19.0110428176388	1.29964136226925e-05	0.00519130313915882	1.10821507691841	0.86990295301575	-0.883686663617735	10	87817795	87818160	366	-	6	13	12	6	15	13	20	11	12	15	6	14	7	8	15	5	0	10	9	5	8	11	4	6
ANXA7	ENSG00000138279	E018	21.8108666924253	0.0355180180285044	12.2447563918752	0.000466567443974731	0.0326883714380887	1.45374396247501	1.25477638163991	-0.691851700834803	10	73398181	73398385	205	-	20	31	30	15	41	64	39	23	23	22	11	16	32	14	18	19	30	29	21	19	14	15	6	17
RPS24	ENSG00000138326	E016	57.4528857622862	0.0719277945040856	12.5920217188372	0.000387396870726439	0.0299942644033943	1.85890444696694	1.64375876661461	-0.727737237016501	10	78035566	78035720	155	+	49	47	118	30	90	145	115	79	57	82	52	46	74	44	45	37	23	92	39	84	43	43	11	27
SMARCAL1	ENSG00000138375	E052	9.25929462353491	0.0276284595235676	10.898448087864	0.000962448615473185	0.0471039327736947	0.891842630679525	1.10786395715782	0.798496834384748	2	216468047	216469141	1095	+	4	10	4	7	11	8	9	5	10	10	4	4	13	11	35	9	15	17	4	10	8	10	10	14
ABI2	ENSG00000138443	E034	25.2468336643001	0.0181054117980057	10.704491144559	0.00106875777967815	0.0496469972153642	1.33395709866391	1.48540514685347	0.523596653084421	2	203382189	203382206	18	+	13	26	6	11	36	29	30	27	18	25	11	20	27	27	61	36	33	27	35	32	38	31	17	37
ABI2	ENSG00000138443	E057	193.322426669871	0.00696210985597371	10.6842216118101	0.00108053190762403	0.0499892511364448	2.32638451268587	2.24369895750763	-0.27610997671619	2	203427570	203427948	379	+	118	149	232	149	256	370	293	162	221	232	145	214	170	168	264	218	134	237	230	288	190	202	66	202
SLC35A5	ENSG00000138459	E017	68.9803891001504	0.0196448518630591	14.7176455000288	0.000124872157261331	0.0167494038690144	1.89678703953609	1.7782144987783	-0.399719098609266	3	112580757	112581178	422	+	81	87	30	60	123	116	114	66	88	84	45	83	67	57	55	41	62	108	59	59	42	93	48	76
SECISBP2L	ENSG00000138593	E031	55.4707543690998	0.0300843960047681	12.9612197114031	0.000318009930683199	0.0272228817950866	1.80286645769117	1.66931972922545	-0.451965333015235	15	49028488	49028682	195	-	42	115	63	39	128	96	78	70	48	61	59	62	51	47	41	28	42	84	46	52	26	45	39	42
SECISBP2L	ENSG00000138593	E035	42.5834568159501	0.0236232968727104	16.3487459350757	5.269101688311e-05	0.0103724506635929	1.69233709339458	1.55203195416618	-0.477533409533348	15	49035457	49035658	202	-	35	77	43	34	83	66	82	62	39	55	48	37	38	25	68	18	34	56	31	32	23	28	29	35
FAM13A	ENSG00000138640	E039	10.6538664253481	0.0111466479866504	13.7041230539788	0.000213984190322478	0.0217214056076197	1.16146710855769	0.957112023866421	-0.744521665877163	4	88787753	88787932	180	-	10	13	11	6	19	39	13	18	20	15	5	9	13	12	3	5	11	7	13	7	8	11	0	12
SEC31A	ENSG00000138674	E009	22.8215687553801	0.0259115906086527	10.7234888990566	0.00105784022626036	0.0494333160225443	1.45800855863549	1.29192456082262	-0.576179789517447	4	82819044	82819253	210	-	11	33	23	16	48	53	31	38	26	26	19	16	24	11	23	10	33	26	26	29	10	18	11	33
BLTP1	ENSG00000138688	E009	39.4758127824473	0.00995821370361398	22.3146378254537	2.31435719353584e-06	0.00218506776352026	1.5142280795678	1.69147220931626	0.603974402898939	4	122170745	122171977	1233	+	16	49	27	21	48	57	56	20	28	36	14	35	52	45	108	49	38	58	46	43	40	48	36	65
BLTP1	ENSG00000138688	E038	21.8284813455845	0.0157148025733675	11.1338125615442	0.000847681781317078	0.0440585430509387	1.2738556894815	1.43250103076832	0.551617571530498	4	122217710	122218421	712	+	11	28	7	7	38	26	21	13	24	20	13	20	19	24	54	30	23	34	18	29	21	27	24	36
BLTP1	ENSG00000138688	E045	167.37138369319	0.0190977383323231	12.0653032825334	0.000513689523508493	0.0343564315014491	2.16280322892478	2.28397004279442	0.40493642812199	4	122224678	122226706	2029	+	146	231	48	78	252	198	206	133	150	207	65	153	205	206	294	194	173	286	195	165	168	216	125	236
BLTP1	ENSG00000138688	E108	11.1374426127132	0.0328287972894383	11.0299972367876	0.000896492813975373	0.0453120271246617	0.95156735031195	1.17240349265803	0.804226779353865	4	122325230	122325320	91	+	7	9	3	3	13	10	11	5	6	15	9	10	8	14	9	22	11	28	17	16	14	14	10	15
BMPR1B	ENSG00000138696	E021	12.6278371427831	0.0797358548587469	16.6870659696913	4.40805117251735e-05	0.00952589654050272	1.28073634674097	0.988684396557802	-1.04877892782829	4	95129862	95130054	193	+	12	14	16	8	31	34	17	22	9	17	7	11	21	7	26	10	9	12	14	11	2	7	2	17
RAP1GDS1	ENSG00000138698	E019	10.1198269409619	0.0667103332706545	11.3235550867938	0.000765300537781601	0.0419281217448504	1.14541608203846	0.900737063066373	-0.899473964319534	4	98343139	98343261	123	+	9	13	19	5	15	23	14	9	17	12	11	13	12	14	0	12	5	12	6	9	8	6	1	6
G3BP2	ENSG00000138757	E010	578.683036030023	0.00492732062969491	15.6107937273682	7.78091625130078e-05	0.0130234592387951	2.78795328372392	2.73583222857674	-0.173442676259571	4	75644743	75645212	470	-	514	453	335	454	796	961	1030	543	687	991	335	578	696	639	987	446	359	756	643	407	562	707	303	665
G3BP2	ENSG00000138757	E027	15.6486390521742	0.147343192710815	12.4137988909023	0.000426173029737845	0.0316032220715658	1.35908449080195	1.03276693411193	-1.15987320073521	4	75655066	75655196	131	-	6	14	28	10	31	55	38	37	14	18	16	13	26	17	24	4	1	17	8	9	10	10	0	8
SEPTIN11	ENSG00000138758	E020	9.03485933227422	0.0484852151034849	12.492096431642	0.000408677318444555	0.0310001829246951	1.10235038750455	0.85951367637332	-0.902516163772482	4	77011776	77011919	144	+	10	8	14	8	12	21	17	10	7	12	11	7	10	8	15	13	3	5	3	9	3	1	4	13
CCNG2	ENSG00000138764	E016	32.5796467651461	0.0165415514642265	13.3936887263193	0.00025247238097325	0.0237640766385078	1.58167720280144	1.45629164767443	-0.429573115633953	4	77164274	77164479	206	+	34	43	51	18	54	70	34	37	29	44	17	32	24	40	45	35	12	30	43	38	33	29	12	24
SEC24B	ENSG00000138802	E005	138.947385792063	0.013075880786335	12.8450079614645	0.000338380770689552	0.0282214206058972	2.18996256680016	2.09892612969966	-0.304604756765796	4	109462901	109463644	744	+	82	204	145	84	226	278	192	132	139	176	114	147	156	144	212	85	136	148	155	175	121	110	79	146
PPP3CA	ENSG00000138814	E027	182.809610927003	0.0353948394423533	12.7142518819809	0.000362879429382054	0.0292203931023755	2.34580635292549	2.16830983026143	-0.592934386502222	4	101346843	101347327	485	-	167	124	232	103	257	394	377	223	227	346	107	188	218	153	255	84	173	121	231	179	134	196	98	124
MAPK8IP3	ENSG00000138834	E048	21.2610942125944	0.0152491311402496	31.2841833519479	2.22888135698648e-08	0.000197045269492279	1.4387250675312	1.19468028178129	-0.852408119298331	16	1765960	1766142	183	+	10	25	42	13	33	72	37	34	31	35	24	23	26	14	13	3	20	15	15	29	8	9	6	13
KIF21A	ENSG00000139116	E037	18.1142150217997	0.00552659550878401	15.6616585268966	7.57442036022599e-05	0.012765720664654	1.19542094145514	1.36325790977146	0.588699261768066	12	39337204	39337541	338	-	9	15	6	7	21	37	17	11	18	22	10	11	31	24	41	24	19	28	27	17	17	18	13	35
KIF21A	ENSG00000139116	E040	22.410169830638	0.0183352611643112	13.0739745325957	0.000299427101174291	0.02632738506401	1.45033330827248	1.2802612739608	-0.590613617807021	12	39340906	39341058	153	-	24	20	29	8	40	59	29	30	31	32	19	19	27	19	32	15	11	37	17	22	14	22	8	18
ETNK1	ENSG00000139163	E023	15.5397516140738	0.0245834447672715	12.6103093506704	0.000383625010155416	0.0298686931445745	1.0864675772534	1.29982848113953	0.757909084658246	12	22671086	22671271	186	+	6	17	4	3	7	13	17	17	10	10	12	14	20	24	41	16	25	33	17	14	14	23	17	25
PRICKLE1	ENSG00000139174	E012	36.4130935163506	0.00778247647820706	12.9459784578049	0.000320609482386895	0.0273491137931543	1.62487816754981	1.51179528798834	-0.386116677730731	12	42464395	42465080	686	-	18	28	26	43	51	90	54	50	37	59	27	34	53	38	48	25	22	41	49	31	30	31	11	38
CLSTN3	ENSG00000139182	E027	140.574851877295	0.0127583864897237	13.4142700557763	0.000249717316880984	0.0237612624240784	2.18441007458906	2.10148393955793	-0.277474265630851	12	7136845	7137110	266	+	74	97	250	100	208	410	221	138	195	217	107	132	165	97	176	106	157	103	151	208	96	100	39	90
SCAF11	ENSG00000139218	E033	85.1926499590812	0.0083925651936735	12.976614290738	0.000315405800158964	0.027152645287714	1.8881793041158	1.9724829393059	0.283382885609461	12	45954734	45956192	1459	-	63	113	24	35	117	103	88	66	65	111	41	85	94	115	139	87	65	192	96	95	87	129	80	111
DUSP6	ENSG00000139318	E005	124.301949588483	0.0020231911297106	31.6020783937701	1.89226955085688e-08	0.000184015644742628	2.11826534908071	2.04579928176254	-0.242739025251641	12	89350588	89351025	438	-	68	64	147	106	139	169	117	127	168	202	122	169	147	125	197	158	59	84	169	120	130	140	41	96
GAS2L3	ENSG00000139354	E025	16.4089257031827	0.0284255765699516	11.9433279129985	0.000548434291279903	0.0354333780348569	1.30648898038781	1.14882012582524	-0.556941747708191	12	100623715	100624890	1176	+	11	11	31	13	21	18	17	20	14	17	12	25	7	12	35	11	13	20	10	32	25	10	9	10
TMEM132B	ENSG00000139364	E016	813.126702203039	0.00246139820639942	14.3627946134689	0.000150751765657647	0.0186564977653982	2.91796574849676	2.89976019453722	-0.0605522374830585	12	125653565	125654817	1253	+	524	620	842	500	1057	1446	1082	668	1065	1118	569	816	901	892	1225	1008	550	700	973	1313	772	930	400	735
SBNO1	ENSG00000139697	E029	87.584699460852	0.0165179132412978	20.5235338696097	5.89025811178487e-06	0.00357266587098674	2.00563883388882	1.87012150184231	-0.455455596254869	12	123345258	123345567	310	-	55	90	119	59	144	192	128	110	129	115	86	84	107	78	147	70	50	77	74	81	46	89	37	73
NOVA1	ENSG00000139910	E018	21.6294518322141	0.0343789020023136	14.0817788622213	0.000175031191041806	0.0199543765580908	1.24534704909286	1.45030240772796	0.713190298898879	14	26588400	26588479	80	-	15	29	2	9	30	23	23	13	15	23	5	20	25	31	81	22	22	32	30	24	35	28	8	34
MDGA2	ENSG00000139915	E015	45.6729452767441	0.00920581922978391	24.6031460203433	7.04366469828524e-07	0.00127667811832351	1.74222866964727	1.58230704826032	-0.543138717061169	14	46957374	46957643	270	-	30	46	49	36	58	109	74	54	59	62	29	51	51	37	41	47	27	51	43	61	43	51	17	39
RTN1	ENSG00000139970	E012	28.2308481535494	0.0379084171541372	16.2007372526638	5.69719394465335e-05	0.0108305902734735	1.53416118684597	1.36408517784607	-0.585956097259443	14	59605368	59605506	139	-	26	15	44	37	51	61	35	30	47	41	21	28	32	16	60	22	13	38	22	28	14	19	1	15
STON2	ENSG00000140022	E009	20.0254889853501	0.0721190371821291	18.2291130640484	1.95861994693684e-05	0.0064565408596549	1.45403001178445	1.16728094657186	-1.00258003352413	14	81278476	81278739	264	-	9	33	26	12	40	39	27	23	21	27	27	19	27	17	0	11	21	13	14	28	19	16	7	28
TCF12	ENSG00000140262	E035	12.698605604353	0.0181754308788608	12.1513605274788	0.000490520688217431	0.0333341543301134	1.22700628392233	1.03862987986668	-0.676016773893889	15	57232712	57232856	145	+	10	37	8	3	35	23	25	18	6	16	14	11	9	14	7	2	13	21	8	12	5	19	9	9
NCOA2	ENSG00000140396	E006	16.6858782202695	0.0293842384864826	12.1545048863204	0.000489694410828669	0.0333185095475714	1.33306943597465	1.15062507558086	-0.643228909228073	8	70123884	70124082	199	-	14	16	33	7	38	40	33	19	15	23	12	10	26	9	15	11	10	17	14	27	12	8	8	17
IGF1R	ENSG00000140443	E024	11.8499698452188	0.0084819751490316	15.9699236436152	6.43568475607106e-05	0.0116093646018398	1.18892242358669	0.981129967210527	-0.752872091007553	15	98908685	98908899	215	+	8	20	20	9	22	31	15	19	13	10	13	10	12	13	7	5	9	6	10	12	9	11	4	10
USP3	ENSG00000140455	E046	10.3196326358204	0.0130344405776695	16.3398648479135	5.29385153695941e-05	0.0103812390875153	1.15157491404908	0.937889326508502	-0.781177084969747	15	63590661	63590925	265	+	9	20	14	1	19	20	17	11	7	12	12	16	11	7	5	9	5	12	10	17	6	9	5	10
ABHD2	ENSG00000140526	E025	26.4403808322798	0.0389466553388277	19.1856642770698	1.18600732124312e-05	0.00490238403631209	1.52267077089571	1.30989082908569	-0.735342826449041	15	89175812	89175995	184	+	15	23	57	28	46	63	32	34	42	33	26	17	29	16	32	16	17	26	20	38	11	20	11	11
FTO	ENSG00000140718	E013	152.782893000166	0.00623374953760684	11.261692024787	0.000791230554147546	0.0426755443530961	2.23709809384961	2.13778771949729	-0.332063327957631	16	53825969	53826360	392	+	114	175	155	93	222	337	259	148	164	196	84	169	209	143	232	112	151	183	179	112	109	168	81	174
FTO	ENSG00000140718	E024	8.44770331177816	0.0325069858492252	15.1164892978215	0.000101076555440776	0.0150755992490702	0.835882420092519	1.08307077624032	0.924338407871875	16	53911256	53911484	229	+	4	10	3	5	8	10	12	3	6	5	3	3	10	11	38	9	11	11	12	9	8	9	10	14
NCOR1	ENSG00000141027	E047	49.2684366296019	0.00986006441945315	15.5593994594647	7.99531532551519e-05	0.013141200400074	1.75901808546133	1.63275178536072	-0.428102313206899	17	16071409	16071665	257	-	27	88	74	39	73	99	72	56	58	69	35	37	51	32	77	30	35	43	56	78	23	47	31	39
TOB1	ENSG00000141232	E004	7.67589946947826	0.0402736056898448	12.0131679323808	0.000528259897585152	0.0347873317398035	0.788422685126593	1.05322041578264	1.00231235919285	17	50863961	50864163	203	-	3	12	4	3	6	10	8	2	7	3	3	7	7	15	16	3	11	15	3	5	8	14	14	18
SSH2	ENSG00000141298	E016	8.94888206181672	0.0193925586674402	20.3900113282232	6.31585993671935e-06	0.00364346363401391	0.840078171310545	1.11213180363394	1.01295329729117	17	29673901	29674159	259	-	4	12	3	2	14	8	3	4	10	8	5	4	7	10	18	13	21	13	8	11	5	15	14	17
ARSG	ENSG00000141337	E006	59.0106810778887	0.00459454512770487	13.2931097333064	0.000266383279255482	0.0245077657279836	1.79225756633346	1.73767179745049	-0.184501992124449	17	68306943	68307711	769	+	52	49	56	58	90	114	88	48	73	105	38	50	72	54	28	43	37	63	84	75	44	46	53	56
ARSG	ENSG00000141337	E026	23.5881840085053	0.0309811507167087	11.9436077903853	0.000548351911322591	0.0354333780348569	1.30548699026525	1.46799143517957	0.56308673046026	17	68420815	68422731	1917	+	11	31	21	9	37	34	30	15	17	25	11	21	27	40	29	24	21	39	32	30	20	23	30	29
CLTC	ENSG00000141367	E074	18.7495013739993	0.0122925082219892	11.3539874089462	0.000752861571350447	0.0414568382602183	1.21768659823737	1.36413948996295	0.512893122506498	17	59683986	59684509	524	+	12	17	19	10	26	15	19	14	20	33	5	13	24	18	42	19	15	25	25	21	16	25	18	32
AFG3L2	ENSG00000141385	E006	26.4434195658471	0.0257870240182595	11.9100578321613	0.000558316668011979	0.0357041622774562	1.50470659614259	1.35815593992531	-0.505651522944818	18	12340201	12340401	201	-	26	34	20	19	35	64	35	27	48	38	18	23	27	20	15	38	15	47	25	30	19	23	4	25
CBLN2	ENSG00000141668	E006	38.9997587808891	0.0345536871012162	21.6796169975947	3.22196699286234e-06	0.0026779777964777	1.69542562915485	1.46687206069973	-0.779948972606593	18	72538150	72538373	224	-	22	45	62	31	72	131	75	44	62	61	30	31	50	18	28	12	27	30	31	46	23	30	24	30
APP	ENSG00000142192	E013	226.461710567626	0.0226496481003048	14.578230235578	0.000134458964928016	0.0175511362461608	2.40148863426429	2.29830496562138	-0.344310726208571	21	25911741	25911962	222	-	156	361	251	233	404	381	323	234	277	275	160	198	248	202	211	191	229	325	201	213	129	242	96	192
APP	ENSG00000142192	E017	76.6355240657929	0.0756977315170339	14.0078379585824	0.000182050173309076	0.0203509559261074	1.98713609688488	1.75319520524919	-0.787891631423469	21	25955627	25955755	129	-	45	95	126	58	163	237	122	148	65	116	63	49	80	66	143	30	64	76	58	68	26	46	26	44
CACNG8	ENSG00000142408	E004	14.8920006557069	0.0833687735604121	12.3647817335977	0.000437508710326601	0.0318935322671819	1.25486932379812	1.09669542492404	-0.563257571947309	19	53982080	53982306	227	+	11	17	36	10	26	56	26	19	15	22	10	14	25	6	2	1	22	10	15	22	4	3	6	10
RPS11	ENSG00000142534	E018	20.1238540724082	0.0773842717164632	14.1396990706325	0.000169723876532084	0.0197422769749328	1.39509271337188	1.197774695422	-0.69071277923576	19	49497917	49498046	130	+	12	19	49	10	39	53	27	43	14	30	29	15	22	14	33	3	7	21	14	14	8	14	3	21
RPS11	ENSG00000142534	E021	188.895804361013	0.0699335804832182	11.2751912104767	0.000785497636664151	0.0425569531375162	2.21080977250191	2.34600658093288	0.451502010396133	19	49499512	49499688	177	+	98	185	191	102	334	280	305	138	132	252	136	212	234	158	178	91	154	307	372	215	135	220	187	234
RERE	ENSG00000142599	E037	31.9411684392357	0.01392324347246	20.065022658434	7.48532140690478e-06	0.00386893011736869	1.42582014629714	1.59753621276914	0.588675947361499	1	8464970	8465924	955	-	18	41	37	17	40	48	31	17	33	30	12	30	37	35	51	23	50	39	42	40	23	31	42	48
RERE	ENSG00000142599	E062	20.5479151547203	0.0815191109774012	13.3860407202383	0.000253503950069092	0.023772656825862	1.19329581551314	1.45155112360986	0.901514531621466	1	8753431	8753838	408	-	11	44	6	6	21	22	11	25	10	11	9	25	38	29	14	26	32	35	20	19	19	35	21	32
KIAA0319L	ENSG00000142687	E007	44.8547826593588	0.0115670497449163	10.9752692166535	0.000923358404129049	0.0461071488652326	1.7147719452843	1.59904636227798	-0.393120850614013	1	35433744	35434104	361	-	40	40	42	40	68	91	72	51	47	78	26	43	69	50	31	25	47	46	46	56	25	43	18	55
SERBP1	ENSG00000142864	E018	29.1125716488871	0.0278443895966216	13.7382914047253	0.000210126549722516	0.0216232449252019	1.55965679600029	1.37215005545989	-0.645135214110584	1	67426135	67426285	151	-	25	56	35	16	45	62	31	32	36	24	33	29	27	22	29	29	13	37	24	42	22	29	18	14
PRKACB	ENSG00000142875	E017	31.3377059031166	0.00774623386308237	19.2493701977635	1.1470821262811e-05	0.00489250651106717	1.42976708993332	1.5607813815683	0.449653101181223	1	84175799	84175807	9	+	29	29	10	11	28	33	30	26	24	36	18	32	46	39	66	37	32	48	30	27	44	61	17	47
MTF2	ENSG00000143033	E027	34.0390883115841	0.0079510132693575	11.1433745768848	0.000843323352479096	0.0439409086927077	1.47809509634932	1.59041940587	0.384400305089321	1	93127232	93127299	68	+	25	33	8	16	36	45	38	25	26	38	15	34	43	33	74	53	30	55	46	33	26	51	29	67
CTTNBP2NL	ENSG00000143079	E012	44.3075992451977	0.0163730369886265	11.7964047105206	0.000593452167306443	0.0368478731164694	1.7046489721298	1.59648187340467	-0.367563574728033	1	112456818	112457374	557	+	28	53	66	21	65	73	65	42	54	71	37	52	62	26	57	29	32	34	59	62	35	35	29	42
ATP1B1	ENSG00000143153	E030	289.064977032595	0.0328374000040644	12.1989486693383	0.000478164557985257	0.0330018386130833	2.51396167383076	2.38121375840178	-0.442564251872921	1	169127224	169127408	185	+	239	261	412	253	510	783	477	385	428	420	193	238	403	242	512	218	113	288	219	304	166	237	37	181
ATP1B1	ENSG00000143153	E037	697.666885365435	0.00805776121027625	16.6292851654787	4.54439018588363e-05	0.00967010433296367	2.87246268459994	2.79854642021851	-0.245904088082462	1	169131778	169132016	239	+	607	553	601	649	1040	1506	1184	754	1130	1204	480	715	824	657	1079	572	313	825	628	640	554	649	158	581
DCAF6	ENSG00000143164	E013	54.4098602731755	0.0122696610167451	11.776715654365	0.000599762096555464	0.0370778820770314	1.79857190712962	1.68644242566826	-0.379369512519577	1	167974830	167975015	186	+	35	34	49	38	77	119	93	70	59	86	41	56	57	39	129	39	34	74	55	37	39	49	37	63
DCAF6	ENSG00000143164	E021	143.626815322391	0.00842064879214725	12.5374581019094	0.000398874540591185	0.0305665512800082	2.19813317290836	2.11959097344963	-0.262736519952961	1	168004533	168004793	261	+	90	110	159	107	213	245	238	132	194	180	93	141	159	148	228	119	94	143	228	165	111	151	63	173
DCAF6	ENSG00000143164	E027	86.8337158746307	0.0137182471933195	25.360862709123	4.75467344077903e-07	0.000942424381133259	1.85577388429485	2.01630205773694	0.539551191972271	1	168023048	168024050	1003	+	39	77	24	45	92	142	119	68	86	80	38	67	120	110	209	83	94	111	122	115	106	125	69	135
DCAF6	ENSG00000143164	E037	22.5881573481361	0.00721285703543565	13.0196898735513	0.000308232856929824	0.026931188144652	1.43811092072621	1.29661362373952	-0.491228087833268	1	168065590	168065746	157	+	18	11	32	17	30	43	37	25	33	36	14	26	20	12	44	16	18	25	26	29	16	11	10	29
ILDR2	ENSG00000143195	E008	82.2039232063598	0.00286838605755164	17.1892202336336	3.3835088148674e-05	0.00851248408889727	1.9332131131396	1.89029967111697	-0.144324519201215	1	166918455	166918865	411	-	40	68	125	47	95	136	115	72	84	103	81	102	81	64	143	91	60	78	77	131	65	84	49	80
ADAMTSL4	ENSG00000143382	E011	7.78190541882961	0.036376655126739	12.1598520136055	0.000488292512275701	0.0332865805932906	0.817412426822468	1.0470226431594	0.865409347039887	1	150552898	150553253	356	+	5	8	14	4	13	9	4	2	3	7	2	4	5	7	22	6	7	9	8	18	10	9	10	14
PIP5K1A	ENSG00000143398	E043	41.5955931104197	0.0125248955754835	30.2252816645774	3.84662472314733e-08	0.000249379245218124	1.70743765002768	1.5311381691883	-0.600179277073747	1	151248150	151248483	334	+	39	46	62	25	66	106	73	57	32	63	25	47	52	39	38	33	23	38	47	46	30	28	16	37
